iter	Passed	Remaining
455	836	998
456	838	996
457	840	994
458	841	992
459	843	990
460	845	988
461	847	986
462	849	984
463	851	983
464	852	981
465	854	979
466	856	977
467	858	975
468	860	973
469	862	972
470	864	970
471	865	968
472	867	966
473	869	964
474	871	962
475	872	961
476	874	959
477	876	957
478	878	955
479	881	954
480	883	952
481	885	951
482	887	949
483	889	947
484	891	946
485	892	944
486	894	942
487	896	940
488	898	938
489	900	936
490	901	935
491	903	933
492	905	931
493	907	929
494	909	927
495	912	926
496	914	925
497	916	923
498	917	921
499	919	919
500	921	917
501	923	915
502	925	914
503	927	912
504	928	910
505	930	908
506	932	906
507	934	904
508	935	902
509	937	900
510	939	898
511	941	897
512	943	895
513	945	894
514	947	892
515	949	890
516	950	888
517	952	886
518	954	884
519	956	882
520	958	881
521	959	879
522	961	877
523	963	875
524	964	873
525	966	871
526	968	869
527	970	867
528	971	865
529	973	863
530	976	862
531	978	860
532	979	858
533	981	856
534	983	854
535	985	852
536	986	850
537	988	848
538	990	847
539	992	845
540	993	843
541	995	841
542	997	839
543	998	837
544	1000	835
545	1002	833
546	1004	831
547	1006	829
548	1007	827
549	1009	826
550	1011	824
551	1013	822
552	1015	820
553	1017	819
554	1019	817
555	1020	815
556	1022	813
557	1024	811
558	1025	809
559	1027	807
560	1029	805
561	1031	803
562	1032	801
563	1034	799
564	1036	797
565	1037	795
566	1039	794
567	1041	792
568	1043	790
569	1045	788
570	1047	786
571	1048	784
572	1050	782
573	1052	780
574	1053	778
575	1055	776
576	1057	775
577	1059	773
578	1061	771
579	1062	769
580	1064	767
581	1066	765
582	1067	763
583	1069	761
584	1071	759
585	1073	758
586	1074	756
587	1076	754
588	1078	752
589	1079	750
590	1081	748
591	1083	746
592	1084	744
593	1086	742
594	1088	740
595	1090	739
596	1093	737
597	1094	735
598	1096	734
599	1098	732
600	1100	730
601	1102	728
602	1105	727
603	1107	726
604	1110	725
605	1113	723
606	1115	722
607	1117	720
608	1119	718
609	1121	716
610	1123	715
611	1125	713
612	1127	711
613	1128	709
614	1130	707
615	1132	705
616	1134	704
617	1136	702
618	1138	700
619	1140	699
620	1142	697
621	1144	695
622	1145	693
623	1147	691
624	1149	689
625	1151	687
626	1153	686
627	1154	684
628	1156	682
629	1158	680
630	1160	678
631	1162	676
632	1163	674
633	1165	673
634	1168	671
635	1171	670
636	1172	668
637	1174	666
638	1176	664
639	1178	662
